intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
32교차로,동서,26,971,1075,160
32교차로,동서,26,1131,1235,160
32교차로,동서,26,1291,1395,160
32교차로,동서,26,1451,1555,160
32교차로,동서,26,1611,1715,160
32교차로,동서,26,1771,1875,160
32교차로,동서,26,1931,2035,160
32교차로,동서,26,2091,2195,160
32교차로,동서,26,2251,2355,160
32교차로,동서,26,2411,2515,160
32교차로,동서,26,2571,2675,160
32교차로,동서,26,2731,2835,160
32교차로,동서,26,2891,2995,160
32교차로,동서,26,3051,3155,160
32교차로,동서,26,3211,3315,160
32교차로,동서,26,3371,3475,160
32교차로,동서,26,3531,3635,160
33교차로,동서,26,11,138,160
33교차로,동서,26,171,298,160
33교차로,동서,26,331,458,160
33교차로,동서,26,491,618,160
33교차로,동서,26,651,778,160
33교차로,동서,26,811,938,160
33교차로,동서,26,971,1098,160
33교차로,동서,26,1131,1258,160
33교차로,동서,26,1291,1418,160
33교차로,동서,26,1451,1578,160
33교차로,동서,26,1611,1738,160
33교차로,동서,26,1771,1898,160
33교차로,동서,26,1931,2058,160
33교차로,동서,26,2091,2218,160
33교차로,동서,26,2251,2378,160
33교차로,동서,26,2411,2538,160
33교차로,동서,26,2571,2698,160
33교차로,동서,26,2731,2858,160
33교차로,동서,26,2891,3018,160
33교차로,동서,26,3051,3178,160
33교차로,동서,26,3211,3338,160
33교차로,동서,26,3371,3498,160
33교차로,동서,26,3531,3658,160
34교차로,동서,26,11,138,160
34교차로,동서,26,171,298,160
34교차로,동서,26,331,458,160
34교차로,동서,26,491,618,160
34교차로,동서,26,651,778,160
34교차로,동서,26,811,938,160
34교차로,동서,26,971,1098,160
34교차로,동서,26,1131,1258,160
34교차로,동서,26,1291,1418,160
34교차로,동서,26,1451,1578,160
34교차로,동서,26,1611,1738,160
34교차로,동서,26,1771,1898,160
34교차로,동서,26,1931,2058,160
34교차로,동서,26,2091,2218,160
34교차로,동서,26,2251,2378,160
34교차로,동서,26,2411,2538,160
34교차로,동서,26,2571,2698,160
34교차로,동서,26,2731,2858,160
34교차로,동서,26,2891,3018,160
34교차로,동서,26,3051,3178,160
34교차로,동서,26,3211,3338,160
34교차로,동서,26,3371,3498,160
34교차로,동서,26,3531,3658,160
35교차로,동서,26,-63,97,160
35교차로,동서,26,97,257,160
35교차로,동서,26,257,417,160
35교차로,동서,26,417,577,160
35교차로,동서,26,577,737,160
35교차로,동서,26,737,897,160
35교차로,동서,26,897,1057,160
35교차로,동서,26,1057,1217,160
35교차로,동서,26,1217,1377,160
35교차로,동서,26,1377,1537,160
35교차로,동서,26,1537,1697,160
35교차로,동서,26,1697,1857,160
35교차로,동서,26,1857,2017,160
35교차로,동서,26,2017,2177,160
35교차로,동서,26,2177,2337,160
35교차로,동서,26,2337,2497,160
35교차로,동서,26,2497,2657,160
35교차로,동서,26,2657,2817,160
35교차로,동서,26,2817,2977,160
35교차로,동서,26,2977,3137,160
35교차로,동서,26,3137,3297,160
35교차로,동서,26,3297,3457,160
35교차로,동서,26,3457,3617,160
